detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
-50,1,0,0,5000000,0,5000000,1,0,0
-50,1,10,10,4999931,-1,5000000,0.9999862,-2.00002760038e-07,-1.14593140412e-05
-50,1,20,20,4994441,-12,5000000,0.9988882,-2.40267128994e-06,-0.000137662924471
-50,1,30,30,4993541,3,5000000,0.9987082,6.00776082543e-07,3.44219339621e-05
-50,1,40,40,4994579,-12,5000000,0.9989158,-2.40260490423e-06,-0.00013765912085
-50,1,50,50,4995101,14,5000000,0.9990202,2.80274613065e-06,0.000160585524333
-50,1,60,60,4995204,-18,5000000,0.9990408,-3.6034564354e-06,-0.000206462845408
-50,1,70,70,4995003,-33,5000000,0.9990006,-6.60660263858e-06,-0.000378530448111
-50,1,80,80,4994883,-27,5000000,0.9989766,-5.40553202142e-06,-0.00030971417085
-50,1,90,90,4992485,-62,5000000,0.998497,-1.24186652532e-05,-0.000711537106196
-50,1,100,100,4988839,-151,5000000,0.9977678,-3.02675632455e-05,-0.00173420363011
-50,1,110,110,4987691,2,5000000,0.9975382,4.00987150166e-07,2.29748713435e-05
-50,1,120,120,4986507,-18,5000000,0.9973014,-3.60974124772e-06,-0.000206822938628
-50,1,130,130,4984657,10,5000000,0.9969314,2.00615609058e-06,0.000114944277035
-50,1,140,140,4981723,-33,5000000,0.9963446,-6.62421415232e-06,-0.000379539513519
-50,1,150,150,4978340,-117,5000000,0.995668,-2.35018098359e-05,-0.00134655451452
-50,1,160,160,4974465,-54,5000000,0.994893,-1.08554387251e-05,-0.000621970823714
-50,1,170,170,4970796,59,5000000,0.9941592,1.18693263609e-05,0.00068006230614
-50,1,180,180,4966048,23,5000000,0.9932096,4.63144939393e-06,0.000265362503301
-50,1,190,190,4961013,-6,5000000,0.9922026,-1.2094304127e-06,-6.92952582624e-05
-50,1,200,200,4954516,-141,5000000,0.9909032,-2.84588847754e-05,-0.00163057398728
-50,1,210,210,4947312,-11,5000000,0.9894624,-2.22342961187e-06,-0.000127393132805
-50,1,220,220,4948690,-28,5000000,0.989738,-5.65806304289e-06,-0.000324183132576
-50,1,230,230,4953745,247,5000000,0.990749,4.98612665358e-05,0.00285684013368
-50,1,240,240,4957612,159,5000000,0.9915224,3.20718926664e-05,0.00183758409078
-50,1,250,250,4960212,23,5000000,0.9920424,4.63689858414e-06,0.000265674718901
-50,1,260,260,4961029,29,5000000,0.9922058,5.84556147518e-06,0.000334926001412
-50,1,270,270,4962675,94,5000000,0.992535,1.89413975303e-05,0.00108526213657
-50,1,280,280,4963826,62,5000000,0.9927652,1.24903652942e-05,0.000715645215934
-50,1,290,290,4965203,-195,5000000,0.9930406,-3.92733187142e-05,-0.0022501954098
-50,1,299.995779993,300,4966375,-134,5000000,0.993275,-2.69814502464e-05,-0.00154592322426
-50,2,0,0,5000000,0,5000000,1,0,0
-50,2,10,10,4999931,-1,5000000,0.9999862,-2.00002760038e-07,-1.14593140412e-05
-50,2,20,20,4994441,-12,5000000,0.9988882,-2.40267128994e-06,-0.000137662924471
-50,2,30,30,4995341,-13,5000000,0.9990682,-2.60242493955e-06,-0.000149107965536
-50,2,40,40,4995198,12,5000000,0.9990396,2.40230717581e-06,0.000137642062268
-50,2,50,50,4995546,14,5000000,0.9991092,2.80249646384e-06,0.000160571219479
-50,2,60,60,4995669,29,5000000,0.9991338,5.80502831546e-06,0.00033260362243
-50,2,70,70,4996070,52,5000000,0.999214,1.04081808298e-05,0.000596344833954
-50,2,80,80,4995339,62,5000000,0.9990678,1.2411570065e-05,0.000711130581854
-50,2,90,90,4994072,87,5000000,0.9988144,1.74206539255e-05,0.000998129946291
-50,2,100,100,4992288,103,5000000,0.9984576,2.06318225201e-05,0.00118211635407
-50,2,110,110,4992505,157,5000000,0.998501,3.14471392514e-05,0.00180178835686
-50,2,119.995121142,120,4991719,179,5000000,0.9983438,3.58593903069e-05,0.0020545917205
-50,2,130,130,4991537,259,5000000,0.9983074,5.18878252866e-05,0.00297295339703
-50,2,139.998987216,140,4989047,96,5000000,0.9978094,1.92421518555e-05,0.00110249409007
-50,2,150,150,4988302,185,5000000,0.9976604,3.70867681859e-05,0.00212491529283
-50,2,160,160,4986333,-88,5000000,0.9972666,-1.76482396966e-05,-0.00101116965045
-50,2,170,170,4984454,-288,5000000,0.9968908,-5.77796484188e-05,-0.00331052999614
-50,2,180,180,4982127,-172,5000000,0.9964254,-3.45234073583e-05,-0.00197804553604
-50,2,190,190,4978965,65,5000000,0.995793,1.30549220564e-05,0.000747991935701
-50,2,200,200,4975942,-24,5000000,0.9951884,-4.82320734442e-06,-0.000276349424552
-50,2,210,210,4971770,51,5000000,0.994354,1.02579161945e-05,0.000587735304542
-50,2,220,220,4975951,-224,5000000,0.9951902,-4.50165204297e-05,-0.00257925662899
-50,2,230,230,4981538,-166,5000000,0.9963076,-3.33230419879e-05,-0.00190926966645
-50,2,240,240,4984818,-345,5000000,0.9969636,-6.9210149588e-05,-0.00396544947086
-50,2,250,250,4985909,-455,5000000,0.9971818,-9.12571807341e-05,-0.00522865130633
-50,2,260,260,4985662,-395,5000000,0.9971324,-7.92271917297e-05,-0.00453938370879
