check_index,qmc_grouped_index,kind,weight,qmc_ancilla,stim_check,stim_ancilla,qmc_data_neighbors,stim_data_neighbors,qmc_toggling_z_expectation,qmc_disagreement_probability,stim_disagreement_probability,qmc_minus_stim,abs_diff,ratio_qmc_over_stim,stim_shots
1,1,X,2,1,x_2,2,4;5,"[1, 3]",0.9860488964050711,0.0069755517974644521,0.0082994,-0.0013238482025355481,0.0013238482025355481,0.84048868562359347,10000000
2,2,X,2,2,x_6,6,6;7,"[5, 7]",0.98478753699977561,0.0076062315001121927,0.010245,-0.0026387684998878079,0.0026387684998878079,0.74243352856146339,10000000
3,3,X,2,3,x_10,10,8;9,"[9, 11]",0.98492920001551454,0.0075353999922427306,0.0080317,-0.00049630000775726865,0.00049630000775726865,0.93820735239647035,10000000
4,31,Z,4,11,z_17,17,4;5;18;19,"[1, 3, 16, 18]",0.95391677332277602,0.023041613338611988,0.0022038,0.020837813338611989,0.020837813338611989,10.455401278978123,10000000
5,13,X,4,12,x_19,19,5;6;19;20,"[3, 5, 18, 20]",0.97512465660385828,0.012437671698070862,0.009825,0.002612671698070862,0.002612671698070862,1.2659207835186628,10000000
6,32,Z,4,13,z_21,21,6;7;20;21,"[5, 7, 20, 22]",0.96889580252212282,0.015552098738938591,0.0017119000000000001,0.013840198738938591,0.013840198738938591,9.0847004725384597,10000000
7,14,X,4,14,x_23,23,7;8;21;22,"[7, 9, 22, 24]",0.98131183147411816,0.0093440842629409215,0.0103202,-0.00097611573705907832,0.00097611573705907832,0.90541697476220628,10000000
8,33,Z,4,15,z_25,25,8;9;22;23,"[9, 11, 24, 26]",0.98023040924315807,0.009884795378420963,0.0019048,0.0079799953784209631,0.0079799953784209631,5.1894137853952982,10000000
9,15,X,4,16,x_27,27,9;10;23;24,"[11, 13, 26, 28]",0.98509531150603658,0.0074523442469817125,0.0095294,-0.0020770557530182879,0.0020770557530182879,0.78203709016115519,10000000
10,7,Z,2,17,z_29,29,10;24,"[13, 28]",0.98525941858695998,0.0073702907065200107,0.0006469,0.006723390706520011,0.006723390706520011,11.393245797681267,10000000
11,8,Z,2,25,z_30,30,18;32,"[16, 31]",0.98555376880931966,0.0072231155953401682,0.0016653,0.0055578155953401685,0.0055578155953401685,4.3374260465622818,10000000
12,16,X,4,26,x_32,32,18;19;32;33,"[16, 18, 31, 33]",0.98515101772555591,0.0074244911372220446,0.0101999,-0.002775408862777955,0.002775408862777955,0.72789842422200657,10000000
13,34,Z,4,27,z_34,34,19;20;33;34,"[18, 20, 33, 35]",0.97935978160448944,0.010320109197755278,0.0017767,0.0085434091977552792,0.0085434091977552792,5.8085828771065904,10000000
14,17,X,4,28,x_36,36,20;21;34;35,"[20, 22, 35, 37]",0.97328281049526788,0.01335859475236606,0.0120654,0.0012931947523660593,0.0012931947523660593,1.1071820869897442,10000000
15,35,Z,4,29,z_38,38,21;22;35;36,"[22, 24, 37, 39]",0.99060381818021381,0.0046980909098930934,0.0021931,0.0025049909098930935,0.0025049909098930935,2.1422146322069642,10000000
16,18,X,4,30,x_40,40,22;23;36;37,"[24, 26, 39, 41]",0.97788822603851666,0.011055886980741669,0.012784799999999999,-0.0017289130192583296,0.0017289130192583296,0.86476808246837422,10000000
17,36,Z,4,31,z_42,42,23;24;37;38,"[26, 28, 41, 43]",0.96757292457999855,0.016213537710000725,0.0015442,0.014669337710000726,0.014669337710000726,10.499635869706466,10000000
18,37,Z,4,39,z_47,47,32;33;46;47,"[31, 33, 46, 48]",0.95891553140885122,0.020542234295574391,0.0017815,0.018760734295574392,0.018760734295574392,11.530864044667073,10000000
19,19,X,4,40,x_49,49,33;34;47;48,"[33, 35, 48, 50]",0.97500904133726385,0.012495479331368076,0.0143316,-0.0018361206686319242,0.0018361206686319242,0.87188306479165456,10000000
20,38,Z,4,41,z_51,51,34;35;48;49,"[35, 37, 50, 52]",0.96023078548706331,0.019884607256468345,0.001867,0.018017607256468345,0.018017607256468345,10.650566286271209,10000000
21,20,X,4,42,x_53,53,35;36;49;50,"[37, 39, 52, 54]",0.9602961072366496,0.019851946381675201,0.013037199999999999,0.0068147463816752019,0.0068147463816752019,1.5227154896507842,10000000
22,39,Z,4,43,z_55,55,36;37;50;51,"[39, 41, 54, 56]",0.97430291692727466,0.012848541536362668,0.0019147,0.010933841536362668,0.010933841536362668,6.7104724167559757,10000000
23,21,X,4,44,x_57,57,37;38;51;52,"[41, 43, 56, 58]",0.98717760802541821,0.0064111959872908963,0.011030000000000002,-0.0046188040127091053,0.0046188040127091053,0.58125076947333598,10000000
24,9,Z,2,45,z_59,59,38;52,"[43, 58]",0.99392944063028554,0.0030352796848572283,0.0009139,0.0021213796848572283,0.0021213796848572283,3.3212383027215542,10000000
25,10,Z,2,53,z_60,60,46;60,"[46, 61]",0.98938433595708597,0.0053078320214570152,0.0014697999999999998,0.0038380320214570153,0.0038380320214570153,3.6112614107069096,10000000
26,22,X,4,54,x_62,62,46;47;60;61,"[46, 48, 61, 63]",0.95175712981380722,0.024121435093096388,0.016489200000000002,0.0076322350930963859,0.0076322350930963859,1.4628626672668403,10000000
27,40,Z,4,55,z_64,64,47;48;61;62,"[48, 50, 63, 65]",0.97072582321874856,0.014637088390625719,0.0015902000000000002,0.013046888390625719,0.013046888390625719,9.2045581628887678,10000000
28,23,X,4,56,x_66,66,48;49;62;63,"[50, 52, 65, 67]",0.95173408873065402,0.024132955634672992,0.0104944,0.013638555634672993,0.013638555634672993,2.2996031821421896,10000000
29,41,Z,4,57,z_68,68,49;50;63;64,"[52, 54, 67, 69]",0.98157592644546154,0.009212036777269228,0.0019355,0.0072765367772692283,0.0072765367772692283,4.7595126723168324,10000000
30,24,X,4,58,x_70,70,50;51;64;65,"[54, 56, 69, 71]",0.98926190778839951,0.0053690461058002459,0.0130601,-0.007691053894199754,0.007691053894199754,0.41110298587302135,10000000
